id,currency_short_name,currency_long_name,symbol,created_at,updated_at
2,ALL,"Albania Lek",Lek,"2025-02-25 10:01:29","2025-02-25 10:01:29"
3,AFN,"Afghanistan Afghani",؋,"2025-02-25 10:01:29","2025-02-25 10:01:29"
4,ARS,"Argentina Peso",$,"2025-02-25 10:01:29","2025-02-25 10:01:29"
5,AWG,"Aruba Guilder",ƒ,"2025-02-25 10:01:29","2025-02-25 10:01:29"
6,AUD,"Australia Dollar",A$,"2025-02-25 10:01:29","2025-02-25 10:01:29"
7,AZN,"Azerbaijan Manat",₼,"2025-02-25 10:01:29","2025-02-25 10:01:29"
8,BSD,"Bahamas Dollar",B$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
9,BBD,"Barbados Dollar",Bds$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
10,BYN,"Belarus Ruble",Br,"2025-02-25 10:01:30","2025-02-25 10:01:30"
11,BZD,"Belize Dollar",BZ$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
12,BMD,"Bermuda Dollar",$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
13,BOB,"Bolivia Bol",Bs,"2025-02-25 10:01:30","2025-02-25 10:01:30"
14,BAM,"Bosnia and Herzegovina Convertible Mark",KM,"2025-02-25 10:01:30","2025-02-25 10:01:30"
15,BWP,"Botswana Pula",P,"2025-02-25 10:01:30","2025-02-25 10:01:30"
16,BGN,"Bulgaria Lev",лв,"2025-02-25 10:01:30","2025-02-25 10:01:30"
17,BRL,"Brazil Real",R$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
18,BND,"Brunei Darussalam Dollar",B$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
19,KHR,"Cambodia Riel",៛,"2025-02-25 10:01:30","2025-02-25 10:01:30"
20,CAD,"Canada Dollar",C$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
21,KYD,"Cayman Islands Dollar",$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
22,CLP,"Chile Peso",$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
23,CNY,"China Yuan Renminbi",¥,"2025-02-25 10:01:30","2025-02-25 10:01:30"
24,COP,"Colombia Peso",$,"2025-02-25 10:01:30","2025-02-25 10:01:30"
25,CRC,"Costa Rica Colon",₡,"2025-02-25 10:01:30","2025-02-25 10:01:30"
26,HRK,"Croatia Kuna",kn,"2025-02-25 10:01:30","2025-02-25 10:01:30"
27,CUP,"Cuba Peso",₱,"2025-02-25 10:01:31","2025-02-25 10:01:31"
28,CZK,"Czech Republic Koruna",Kč,"2025-02-25 10:01:31","2025-02-25 10:01:31"
29,DKK,"Denmark Krone",kr,"2025-02-25 10:01:31","2025-02-25 10:01:31"
30,DOP,"Dominican Republic Peso",$,"2025-02-25 10:01:31","2025-02-25 10:01:31"
31,XCD,"East Caribbean Dollar",$,"2025-02-25 10:01:31","2025-02-25 10:01:31"
32,EGP,"Egypt Pound",E£,"2025-02-25 10:01:31","2025-02-25 10:01:31"
33,SVC,"El Salvador Colon",₡,"2025-02-25 10:01:31","2025-02-25 10:01:31"
34,EUR,"Euro Member Countries",€,"2025-02-25 10:01:31","2025-02-25 10:01:31"
35,FKP,"Falkland Islands (Malvinas) Pound",£,"2025-02-25 10:01:31","2025-02-25 10:01:31"
36,FJD,"Fiji Dollar",FJ$,"2025-02-25 10:01:31","2025-02-25 10:01:31"
37,GHS,"Ghana Cedi",GH¢,"2025-02-25 10:01:31","2025-02-25 10:01:31"
38,GIP,"Gibraltar Pound",£,"2025-02-25 10:01:31","2025-02-25 10:01:31"
39,GTQ,"Guatemala Quetzal",Q,"2025-02-25 10:01:31","2025-02-25 10:01:31"
40,GGP,"Guernsey Pound",£,"2025-02-25 10:01:31","2025-02-25 10:01:31"
